file,throughput,hw_ratio,sw_ratio
total_file_18,25.600,24.02,11.63
total_file_14,30.175,38.03,24.88
total_file_12,34.879,43.81,29.57
total_file,38.634,47.90,31.85
total_file_2,38.738,47.90,31.85
total_file_4,38.756,47.90,31.85
total_file_8,38.746,47.90,31.85
