file,throughput,hw_ratio,sw_ratio
total_file_18,9.550,19.81,11.63
total_file_14,12.296,33.99,24.88
total_file_12,14.724,39.74,29.57
total_file,16.722,43.63,31.85
total_file_2,16.790,43.63,31.85
total_file_4,16.794,43.63,31.85
total_file_8,16.775,43.63,31.85
