file,throughput,hw_ratio,sw_ratio
total_file_18,23.234,18.57,11.63
total_file_14,27.131,32.81,24.88
total_file_12,29.094,38.47,29.57
total_file,30.834,42.32,31.85
total_file_2,31.007,42.32,31.85
total_file_4,31.023,42.32,31.85
total_file_8,30.979,42.32,31.85
