file,throughput,hw_ratio,sw_ratio
total_file_18,9.550,18.57,11.63
total_file_14,12.296,32.82,24.88
total_file_12,14.724,38.47,29.57
total_file,16.723,42.32,31.85
total_file_2,16.791,42.32,31.85
total_file_4,16.795,42.32,31.85
total_file_8,16.777,42.32,31.85
